,freq,Gain[dB],Phase[rad],
0,0,1.84292,0,32.8532
1,0.015625,10.7757,0.952213,-63.5772
2,0.03125,9.95797,-0.273007,92.7455
3,0.046875,10.2532,0.0945093,-104.066
4,0.0625,12.5841,1.00647,93.226
5,0.078125,8.20488,0.406211,-71.386
6,0.09375,12.0793,0.435315,41.9575
7,0.109375,17.6268,0.596893,-27.8691
8,0.125,14.4633,-0.23191,29.4731
9,0.140625,9.75248,0.187213,-33.9667
10,0.15625,6.35131,0.245001,39.2178
11,0.171875,3.53004,1.22553,-40.1214
12,0.1875,7.82052,1.22574,31.9803
13,0.203125,6.08882,1.46536,-17.9392
14,0.21875,11.9989,-1.0129,-0.147692
15,0.234375,36.4893,1.48512,10.0081
16,0.25,10.3874,0.391137,-15.6517
17,0.265625,6.95126,-1.24461,16.7841
18,0.28125,12.3423,-0.953026,-11.4611
19,0.296875,15.4263,-0.511962,-2.32784
20,0.3125,21.5929,-0.298407,11.9988
21,0.328125,44.6483,0.232572,-16.4892
22,0.34375,105.436,-0.513606,12.7462
23,0.359375,126.801,-0.376251,-9.2505
24,0.375,225.536,-0.377467,0.183786
25,0.390625,339.392,-1.407,6.35664
26,0.40625,271.89,1.13415,-5.44572
27,0.421875,156.915,1.38045,1.96881
28,0.4375,288.439,-1.16123,-0.37145
29,0.453125,432.185,1.13228,1.7628
30,0.46875,538.293,0.946617,-4.38342
31,0.484375,695.316,0.440127,5.89462
32,0.5,697.156,6.10705e-17,-8.58165
33,0.515625,695.316,-0.440127,9.43776
34,0.53125,538.293,-0.946617,-7.00088
35,0.546875,432.185,-1.13228,4.46707
36,0.5625,288.439,1.16123,-2.80244
37,0.578125,156.915,-1.38045,-0.114619
38,0.59375,271.89,-1.13415,3.29954
39,0.609375,339.392,1.407,-5.36016
40,0.625,225.536,0.377467,4.16552
41,0.640625,126.801,0.376251,-1.93669
42,0.65625,105.436,0.513606,2.77247
43,0.671875,44.6483,-0.232572,-0.854953
44,0.6875,21.5929,0.298407,2.67126
45,0.703125,15.4263,0.511962,-2.74124
46,0.71875,12.3423,0.953026,3.60942
47,0.734375,6.95126,1.24461,-0.470208
48,0.75,10.3874,-0.391137,-3.94529
49,0.765625,36.4893,-1.48512,6.53302
50,0.78125,11.9989,1.0129,-6.60062
51,0.796875,6.08882,-1.46536,4.13594
52,0.8125,7.82052,-1.22574,-1.2167
53,0.828125,3.53004,-1.22553,-2.93932
54,0.84375,6.35131,-0.245001,4.00157
55,0.859375,9.75248,-0.187213,-3.55716
56,0.875,14.4633,0.23191,2.38307
57,0.890625,17.6268,-0.596893,-2.09095
58,0.90625,12.0793,-0.435315,2.35883
59,0.921875,8.20488,-0.406211,-2.78336
60,0.9375,12.5841,-1.00647,3.18528
61,0.953125,10.2532,-0.0945093,-3.5014
62,0.96875,9.95797,0.273007,2.27865
63,0.984375,10.7757,-0.952213,-1.66164
