i,e,eta,J,|k|,|u|,Esum
0,32760.9,32767,1.07348e+09,0.432627,0.000432708,1.07368e+09
1,1.44347,1.44375,1.07348e+09,0.44444,0.000444532,1.07368e+09
2,8.77407,8.77917,1.07348e+09,0.761793,0.00076233,1.07368e+09
3,-7.7654,-7.77225,1.07348e+09,0.938042,0.00093915,1.07368e+09
4,30.5596,30.7303,1.07348e+09,2.34888,0.00236386,1.07368e+09
5,-3.2111,-3.2292,1.07348e+09,2.3593,0.00237528,1.07368e+09
6,55.4726,56.6766,1.07348e+09,4.54788,0.00467108,1.07368e+09
7,-13.7701,-14.0829,1.07348e+09,4.64226,0.00478406,1.07368e+09
8,186.36,249.709,1.07353e+09,13.5772,0.0186863,1.07368e+09
9,93.4474,1468.63,1.07366e+09,6.75549,0.13946,1.07368e+09
10,14.0713,379.963,1.07367e+09,2.54722,0.683619,1.07368e+09
11,-5.71885,-1122.75,1.07368e+09,2.09057,1.21134,1.07368e+09
12,0.177141,34.989,1.07368e+09,2.13207,1.22622,1.07368e+09
13,0.769885,175.319,1.07368e+09,1.87527,1.36828,1.07368e+09
14,-0.816802,-238.737,1.07368e+09,1.66496,1.38691,1.07368e+09
15,0.393518,123.786,1.07368e+09,1.62829,1.43116,1.07368e+09
16,-0.237706,-76.977,1.07368e+09,1.63561,1.44653,1.07368e+09
17,0.0927064,30.1572,1.07368e+09,1.64156,1.44747,1.07368e+09
18,-0.0808256,-26.3834,1.07368e+09,1.64407,1.44783,1.07368e+09
19,0.0826834,27.0884,1.07368e+09,1.64396,1.5139,1.07368e+09
20,-0.0862436,-28.3679,1.07368e+09,1.64208,1.5754,1.07368e+09
21,0.0935234,30.9086,1.07368e+09,1.64168,1.58416,1.07368e+09
22,-0.0481902,-15.9466,1.07368e+09,1.64368,1.64436,1.07368e+09
23,-0.0240583,-7.96362,1.07368e+09,1.64154,1.64486,1.07368e+09
24,0.0890749,29.6136,1.07368e+09,1.63109,1.6623,1.07368e+09
25,-0.105934,-35.4385,1.07368e+09,1.62063,1.66282,1.07368e+09
26,0.0751177,25.2088,1.07368e+09,1.61721,1.66357,1.07368e+09
27,-0.0268469,-9.01322,1.07368e+09,1.6174,1.66482,1.07368e+09
28,-0.0249442,-8.37737,1.07368e+09,1.61622,1.66492,1.07368e+09
29,0.0647853,21.8092,1.07368e+09,1.61182,1.67962,1.07368e+09
30,-0.0526942,-17.7668,1.07368e+09,1.60963,1.71361,1.07368e+09
31,0.0162846,5.49144,1.07368e+09,1.60956,1.72098,1.07368e+09
32,0.0485036,16.3781,1.07368e+09,1.60743,1.72128,1.07368e+09
33,-0.0748892,-25.3686,1.07368e+09,1.60389,1.73258,1.07368e+09
34,0.079235,26.9376,1.07368e+09,1.60112,1.76078,1.07368e+09
35,-0.0501953,-17.0898,1.07368e+09,1.60092,1.76431,1.07368e+09
36,0.000206365,0.0702602,1.07368e+09,1.60093,1.7654,1.07368e+09
37,0.0372124,12.6797,1.07368e+09,1.59928,1.7659,1.07368e+09
