Running ./masp_fir ...
N,i,sinc,sinc_n,lanczos
24,0,0.010592,0.000045,-0.002300
24,1,0.028008,0.001066,-0.005648
24,2,0.030956,0.003198,-0.004610
24,3,0.014331,0.002803,-0.000838
24,4,-0.016242,-0.005013,-0.001076
24,5,-0.045243,-0.019669,-0.009847
24,6,-0.053469,-0.030224,-0.020584
24,7,-0.027069,-0.018714,-0.015024
24,8,0.034803,0.027995,0.024835
24,9,0.117632,0.105478,0.099626
24,10,0.196053,0.188591,0.184911
24,11,0.243624,0.242582,0.242061
24,12,0.243624,0.242582,0.242061
24,13,0.196053,0.188591,0.184911
24,14,0.117632,0.105478,0.099626
24,15,0.034803,0.027995,0.024835
24,16,-0.027069,-0.018714,-0.015024
24,17,-0.053469,-0.030224,-0.020584
24,18,-0.045243,-0.019669,-0.009847
24,19,-0.016242,-0.005013,-0.001076
24,20,0.014331,0.002803,-0.000838
24,21,0.030956,0.003198,-0.004610
24,22,0.028008,0.001066,-0.005648
24,23,0.010592,0.000045,-0.002300

N,i,slpf,shpf,sbpf,sbef
24,0,0.000045,-0.038271,-0.030164,0.002485
24,1,0.001066,0.002308,-0.049444,0.079759
24,2,0.003198,-0.064462,-0.007263,-0.026243
24,3,0.002803,0.023117,0.012149,0.025299
24,4,-0.005013,-0.026200,-0.013769,-0.028672
24,5,-0.019669,0.094214,0.010616,0.038355
24,6,-0.030224,-0.004405,0.094393,-0.152267
24,7,-0.018714,0.097805,0.077087,-0.006351
24,8,0.027995,-0.125749,-0.099112,0.008166
24,9,0.105478,0.009692,-0.207664,0.334988
24,10,0.188591,-0.408260,-0.046001,-0.166206
24,11,0.242582,0.392996,0.206534,0.430085
24,12,0.242582,0.392996,0.206534,0.430085
24,13,0.188591,-0.408260,-0.046001,-0.166206
24,14,0.105478,0.009692,-0.207664,0.334988
24,15,0.027995,-0.125749,-0.099112,0.008166
24,16,-0.018714,0.097805,0.077087,-0.006351
24,17,-0.030224,-0.004405,0.094393,-0.152267
24,18,-0.019669,0.094214,0.010616,0.038355
24,19,-0.005013,-0.026200,-0.013769,-0.028672
24,20,0.002803,0.023117,0.012149,0.025299
24,21,0.003198,-0.064462,-0.007263,-0.026243
24,22,0.001066,0.002308,-0.049444,0.079759
24,23,0.000045,-0.038271,-0.030164,0.002485

N,i,sinc,sinc_n,lanczos
25,0,0.000000,0.000000,-0.000000
25,1,0.020462,0.000718,-0.004376
25,2,0.031831,0.003040,-0.005732
25,3,0.025009,0.004534,-0.002708
25,4,-0.000000,-0.000000,-0.000000
25,5,-0.032154,-0.013065,-0.004476
25,6,-0.053052,-0.028191,-0.015921
25,7,-0.045016,-0.029463,-0.021181
25,8,0.000000,0.000000,0.000000
25,9,0.075026,0.064859,0.058837
25,10,0.159155,0.149312,0.143290
25,11,0.225079,0.221543,0.219339
25,12,0.250000,0.250000,0.250000
25,13,0.225079,0.221543,0.219339
25,14,0.159155,0.149312,0.143290
25,15,0.075026,0.064859,0.058837
25,16,0.000000,0.000000,0.000000
25,17,-0.045016,-0.029463,-0.021181
25,18,-0.053052,-0.028191,-0.015921
25,19,-0.032154,-0.013065,-0.004476
25,20,-0.000000,-0.000000,-0.000000
25,21,0.025009,0.004534,-0.002708
25,22,0.031831,0.003040,-0.005732
25,23,0.020462,0.000718,-0.004376
25,24,0.000000,0.000000,-0.000000

N,i,slpf,shpf,sbpf,sbef
25,0,0.000000,-0.000000,-0.000000,-0.000000
25,1,0.000718,-0.020462,-0.049399,0.049399
25,2,0.003040,-0.031831,-0.031831,0.031831
25,3,0.004534,-0.025009,0.010359,-0.010359
25,4,-0.000000,-0.000000,-0.000000,-0.000000
25,5,-0.013065,0.032154,-0.013319,0.013319
25,6,-0.028191,0.053052,0.053052,-0.053052
25,7,-0.029463,0.045016,0.108678,-0.108678
25,8,0.000000,-0.000000,-0.000000,-0.000000
25,9,0.064859,-0.075026,-0.181130,0.181130
25,10,0.149312,-0.159155,-0.159155,0.159155
25,11,0.221543,-0.225079,0.093231,-0.093231
25,12,0.250000,0.750000,0.250000,0.750000
25,13,0.221543,-0.225079,0.093231,-0.093231
25,14,0.149312,-0.159155,-0.159155,0.159155
25,15,0.064859,-0.075026,-0.181130,0.181130
25,16,0.000000,-0.000000,-0.000000,-0.000000
25,17,-0.029463,0.045016,0.108678,-0.108678
25,18,-0.028191,0.053052,0.053052,-0.053052
25,19,-0.013065,0.032154,-0.013319,0.013319
25,20,-0.000000,-0.000000,-0.000000,-0.000000
25,21,0.004534,-0.025009,0.010359,-0.010359
25,22,0.003040,-0.031831,-0.031831,0.031831
25,23,0.000718,-0.020462,-0.049399,0.049399
25,24,0.000000,-0.000000,-0.000000,-0.000000
