,freq,gain1,gain2,phase1,phase2
0,0,2.36167,2.36167,0,0
1,37.5,2.38058,2.38058,0.0640524,0.0640524
2,75,2.43899,2.43899,0.128029,0.128029
3,112.5,2.5424,2.5424,0.191856,0.191856
4,150,2.70142,2.70142,0.25546,0.25546
5,187.5,2.93488,2.93488,0.318772,0.318772
6,225,3.27628,3.27628,0.381727,0.381727
7,262.5,3.78888,3.78888,0.444262,0.444262
8,300,4.60499,4.60499,0.506323,0.506323
9,337.5,6.05195,6.05195,0.567858,0.567858
10,375,9.21419,9.21419,0.628824,0.628824
11,412.5,21.0942,21.0942,0.689182,0.689182
12,450,56.3499,56.3499,0.7489,0.7489
13,487.5,11.5551,11.5551,0.80795,0.80795
14,525,6.30546,6.30546,0.866314,0.866314
15,562.5,4.28236,4.28236,0.923974,0.923974
16,600,3.21608,3.21608,0.980923,0.980923
17,637.5,2.56085,2.56085,1.03715,1.03715
18,675,2.11937,2.11937,1.09266,1.09266
19,712.5,1.80299,1.80299,1.14746,1.14746
20,750,1.56602,1.56602,1.20154,1.20154
21,787.5,1.3825,1.3825,1.25493,1.25493
22,825,1.23663,1.23663,1.30762,1.30762
23,862.5,1.11825,1.11825,1.35965,1.35965
24,900,1.02051,1.02051,1.41101,1.41101
25,937.5,0.938641,0.938641,1.46173,1.46173
26,975,0.869238,0.869238,1.51183,1.51183
27,1012.5,0.809784,0.809784,1.56132,1.56132
28,1050,0.758392,0.758392,-1.53136,-1.53136
29,1087.5,0.713617,0.713617,-1.48301,-1.48301
30,1125,0.674338,0.674338,-1.4352,-1.4352
31,1162.5,0.639669,0.639669,-1.38792,-1.38792
32,1200,0.608904,0.608904,-1.34113,-1.34113
33,1237.5,0.581471,0.581471,-1.29483,-1.29483
34,1275,0.556906,0.556906,-1.24898,-1.24898
35,1312.5,0.534826,0.534826,-1.20356,-1.20356
36,1350,0.514912,0.514912,-1.15857,-1.15857
37,1387.5,0.4969,0.4969,-1.11397,-1.11397
38,1425,0.480565,0.480565,-1.06976,-1.06976
39,1462.5,0.465718,0.465718,-1.0259,-1.0259
40,1500,0.452198,0.452198,-0.98238,-0.98238
41,1537.5,0.439867,0.439867,-0.939186,-0.939186
42,1575,0.428606,0.428606,-0.896299,-0.896299
43,1612.5,0.418313,0.418313,-0.8537,-0.8537
44,1650,0.408898,0.408898,-0.811373,-0.811373
45,1687.5,0.400285,0.400285,-0.769303,-0.769303
46,1725,0.392407,0.392407,-0.727474,-0.727474
47,1762.5,0.385203,0.385203,-0.68587,-0.68587
48,1800,0.378623,0.378623,-0.644477,-0.644477
49,1837.5,0.372621,0.372621,-0.60328,-0.60328
50,1875,0.367157,0.367157,-0.562265,-0.562265
51,1912.5,0.362197,0.362197,-0.521419,-0.521419
52,1950,0.357709,0.357709,-0.480727,-0.480727
53,1987.5,0.353667,0.353667,-0.440178,-0.440178
54,2025,0.350046,0.350046,-0.399758,-0.399758
55,2062.5,0.346827,0.346827,-0.359455,-0.359455
56,2100,0.34399,0.34399,-0.319256,-0.319256
57,2137.5,0.341522,0.341522,-0.279149,-0.279149
58,2175,0.339408,0.339408,-0.239123,-0.239123
59,2212.5,0.337637,0.337637,-0.199165,-0.199165
60,2250,0.3362,0.3362,-0.159264,-0.159264
61,2287.5,0.335091,0.335091,-0.119408,-0.119408
62,2325,0.334302,0.334302,-0.0795868,-0.0795868
63,2362.5,0.33383,0.33383,-0.0397878,-0.0397878
64,2400,0.333673,0.333673,-3.72158e-16,0
65,2437.5,0.33383,0.33383,0.0397878,0.0397878
66,2475,0.334302,0.334302,0.0795868,0.0795868
67,2512.5,0.335091,0.335091,0.119408,0.119408
68,2550,0.3362,0.3362,0.159264,0.159264
69,2587.5,0.337637,0.337637,0.199165,0.199165
70,2625,0.339408,0.339408,0.239123,0.239123
71,2662.5,0.341522,0.341522,0.279149,0.279149
72,2700,0.34399,0.34399,0.319256,0.319256
73,2737.5,0.346827,0.346827,0.359455,0.359455
74,2775,0.350046,0.350046,0.399758,0.399758
75,2812.5,0.353667,0.353667,0.440178,0.440178
76,2850,0.357709,0.357709,0.480727,0.480727
77,2887.5,0.362197,0.362197,0.521419,0.521419
78,2925,0.367157,0.367157,0.562265,0.562265
79,2962.5,0.372621,0.372621,0.60328,0.60328
80,3000,0.378623,0.378623,0.644477,0.644477
81,3037.5,0.385203,0.385203,0.68587,0.68587
82,3075,0.392407,0.392407,0.727474,0.727474
