Id,Frequency,Amplitude,Argument
0,0,2.42885e+06,0
1,5.85938,3.8893e+06,-2.1242
2,11.7188,1.90161e+06,1.16648
3,17.5781,1.46338e+06,1.75595
4,23.4375,1.62216e+06,0.0385422
5,29.2969,3.7558e+06,0.462536
6,35.1562,1.58885e+06,-0.23285
7,41.0156,3.81988e+06,0.174609
8,46.875,3.35927e+06,0.202821
9,52.7344,2.70221e+06,1.75612
10,58.5938,3.24645e+06,-0.860566
11,64.4531,1.89237e+06,-1.09372
12,70.3125,2.41927e+06,1.53743
13,76.1719,4.47911e+06,0.851829
14,82.0312,3.54823e+06,-1.14032
15,87.8906,3.89788e+06,0.891977
16,93.75,2.49708e+06,-0.481376
17,99.6094,4.38797e+06,1.35314
18,105.469,3.98589e+06,-1.63977
19,111.328,6.88731e+06,1.54209
20,117.188,7.57272e+06,-2.16943
21,123.047,9.50655e+06,-1.52248
22,128.906,2.40162e+07,-1.6922
23,134.766,1.41192e+07,-1.55604
24,140.625,3.00969e+06,1.35849
25,146.484,1.71653e+06,-2.84984
26,152.344,1.84496e+06,0.947095
27,158.203,8.14508e+06,-0.0948921
28,164.062,2.45072e+07,-3.47798
29,169.922,1.2071e+07,2.10891
30,175.781,4.43439e+06,2.96001
31,181.641,4.49459e+06,3.05885
32,187.5,3.66631e+06,1.16007
33,193.359,6.34509e+06,-0.522011
34,199.219,6.03005e+06,1.27367
35,205.078,2.04554e+07,-0.371982
36,210.938,2.14465e+07,-0.522497
37,216.797,1.03007e+07,-1.23036
38,222.656,3.21886e+06,-2.47217
39,228.516,2.41496e+06,-0.789178
40,234.375,2.7671e+06,-0.199969
41,240.234,3.1025e+06,-1.88811
42,246.094,5.15474e+06,1.1615
43,251.953,5.05972e+06,3.49196
44,257.812,1.47675e+07,-1.68325
45,263.672,2.70115e+07,1.39458
46,269.531,1.04282e+07,1.16777
47,275.391,2.57731e+06,0.442493
48,281.25,3.65856e+06,2.93794
49,287.109,2.47072e+06,2.49558
50,292.969,4.29448e+06,0.512578
51,298.828,2.14236e+06,-1.21429
