Id,Frequency,Amplitude,Argument
0,0,51954,0
1,5.85938,89012,0.290279
2,11.7188,64439.8,0.57726
3,17.5781,84960.8,0.0964385
4,23.4375,53635.9,1.49267
5,29.2969,116452,0.729385
6,35.1562,84969.7,2.27296
7,41.0156,180833,-0.775381
8,46.875,144414,0.915692
9,52.7344,103265,0.0880894
10,58.5938,103041,1.45725
11,64.4531,178675,-0.908453
12,70.3125,48300.7,-4.21242
13,76.1719,341486,0.310684
14,82.0312,259640,0.600212
15,87.8906,211477,-2.93512
16,93.75,163437,0.713223
17,99.6094,475637,-0.289369
18,105.469,409198,3.48336
19,111.328,557430,-0.306369
20,117.188,579677,3.15752
21,123.047,992316,-0.113111
22,128.906,2.3133e+06,-0.0925656
23,134.766,1.22741e+06,0.187499
24,140.625,127090,-2.6089
25,146.484,213722,1.0506
26,152.344,198189,2.18794
27,158.203,913902,-1.49623
28,164.062,2.97519e+06,1.21545
29,169.922,1.36624e+06,-2.77682
30,175.781,608297,-2.76791
31,181.641,590505,-2.25851
32,187.5,461784,-3.76129
33,193.359,781225,-2.2079
34,199.219,925241,-0.995113
35,205.078,3.07247e+06,1.15617
36,210.938,3.12679e+06,1.08173
37,216.797,1.51658e+06,0.261387
38,222.656,457231,2.29548
39,228.516,330868,0.534872
40,234.375,501794,1.06286
41,240.234,387989,-0.151312
42,246.094,927900,-0.360068
43,251.953,807834,-1.73045
44,257.812,2.80511e+06,-0.0352121
45,263.672,4.96081e+06,-3.15679
46,269.531,1.82929e+06,0.11709
47,275.391,390975,2.64363
48,281.25,521640,0.916098
49,287.109,546345,-3.46033
50,292.969,626426,-1.06167
51,298.828,475387,-0.598439
52,304.688,336721,0.162669
53,310.547,882454,-0.567273
54,316.406,445843,1.77642
55,322.266,2.15229e+06,-1.1443
56,328.125,5.74602e+06,2.19864
57,333.984,3.93428e+06,-0.91049
58,339.844,1.2843e+06,2.2276
59,345.703,1.3414e+06,1.43222
60,351.562,1.03873e+06,0.806828
61,357.422,419451,-1.85381
62,363.281,189543,-1.37841
63,369.141,588378,-1.66756
64,375,908884,-1.21237
65,380.859,1.01694e+06,2.49251
66,386.719,990548,-2.05435
67,392.578,238016,0.521938
68,398.438,915099,-2.47946
69,404.297,757322,-1.67724
70,410.156,2.8959e+06,2.13858
71,416.016,7.98406e+06,-1.03399
72,421.875,2.53685e+06,3.21248
73,427.734,478651,-0.937491
74,433.594,1.21792e+06,2.529
75,439.453,617133,-1.71575
76,445.312,860544,3.23598
77,451.172,433334,0.093969
78,457.031,664217,1.10916
79,462.891,685507,-0.134029
80,468.75,298045,2.19338
81,474.609,458567,-3.33793
82,480.469,675774,0.746801
83,486.328,747187,1.57301
84,492.188,1.62809e+06,1.15737
85,498.047,1.36392e+06,0.62625
86,503.906,924167,0.663758
87,509.766,1.96004e+06,0.856217
88,515.625,2.52479e+06,-0.540677
89,521.484,8.94872e+06,2.85127
90,527.344,7.44579e+06,-0.42813
91,533.203,1.89157e+06,2.50984
92,539.062,2.50233e+06,-0.920754
93,544.922,2.10375e+06,1.93502
94,550.781,1.14491e+06,2.03098
95,556.641,784636,-2.59557
96,562.5,877332,-1.62175
97,568.359,478215,-0.254712
98,574.219,1.50301e+06,-0.179958
99,580.078,1.2617e+06,-1.52562
100,585.938,680869,-0.483239
101,591.797,729166,0.138791
102,597.656,1.36492e+06,-3.06284
103,603.516,684326,-0.597119
104,609.375,1.15151e+06,-1.98262
105,615.234,1.14244e+06,-0.49805
106,621.094,770935,2.65914
107,626.953,1.08393e+06,3.46966
108,632.812,1.24409e+06,-1.76733
109,638.672,1.68343e+06,-2.34311
110,644.531,1.95377e+06,1.27931
111,650.391,2.06219e+06,-1.59593
112,656.25,8.13934e+06,1.36244
113,662.109,1.12025e+07,1.43692
114,667.969,4.0019e+06,1.42204
115,673.828,2.28401e+06,1.24421
116,679.688,1.72901e+06,-1.09191
117,685.547,1.69641e+06,0.775049
118,691.406,1.55597e+06,0.572739
119,697.266,889131,2.18749
120,703.125,916381,-0.43216
121,708.984,1.01247e+06,1.86399
122,714.844,959402,-1.05799
123,720.703,819146,-0.0118292
124,726.562,1.01943e+06,4.47553
125,732.422,684097,-0.408817
126,738.281,525588,3.67379
127,744.141,658121,1.36041
128,750,856516,-1.30267
129,755.859,1.0511e+06,-0.160748
130,761.719,1.60838e+06,1.92246
131,767.578,1.29968e+06,-1.43255
132,773.438,573279,-0.383258
133,779.297,1.23271e+06,3.27075
134,785.156,369185,1.7804
135,791.016,1.15243e+06,0.699108
136,796.875,645801,0.228036
137,802.734,1.81144e+06,4.26105
138,808.594,1.50402e+06,1.17859
139,814.453,2.38543e+06,1.05306
140,820.312,666889,-0.513698
141,826.172,5.69817e+06,2.94029
142,832.031,1.59354e+07,-2.06389
143,837.891,5.14928e+06,0.31702
144,843.75,699928,-2.35077
145,849.609,1.97663e+06,2.25722
146,855.469,1.02514e+06,2.84508
147,861.328,1.71434e+06,3.65471
148,867.188,2.41543e+06,-0.705888
149,873.047,1.56857e+06,1.47568
150,878.906,1.92065e+06,-0.0254558
151,884.766,822808,-1.42989
152,890.625,1.98207e+06,-0.00557892
153,896.484,1.52725e+06,-1.27949
154,902.344,914980,0.888472
155,908.203,1.65317e+06,-2.50352
156,914.062,1.38991e+06,0.929572
157,919.922,1.26779e+06,1.46169
158,925.781,804932,1.35824
159,931.641,753648,-0.857543
160,937.5,689370,-1.75347
161,943.359,1.74921e+06,1.43354
162,949.219,1.44005e+06,1.68473
163,955.078,1.63231e+06,0.408495
164,960.938,1.61754e+06,-1.13227
165,966.797,673798,-1.41341
166,972.656,826855,0.713612
167,978.516,841508,-0.130549
168,984.375,1.60762e+06,1.37249
169,990.234,1.28775e+06,0.148964
170,996.094,2.2062e+06,-0.312014
171,1001.95,1.16148e+06,3.62039
172,1007.81,1.63818e+06,0.426484
173,1013.67,1.17977e+06,3.65652
174,1019.53,2.75031e+06,1.59672
175,1025.39,1.05189e+06,1.26728
176,1031.25,2.13427e+06,1.90451
177,1037.11,1.95562e+06,-3.30236
178,1042.97,8.82617e+06,2.0564
179,1048.83,1.94656e+07,-3.85237
180,1054.69,6.65806e+06,-0.296519
181,1060.55,1.88564e+06,-1.30451
182,1066.41,3.82589e+06,0.0532003
183,1072.27,1.45754e+06,1.58543
184,1078.12,2.13985e+06,-0.433717
185,1083.98,1.90469e+06,-1.1535
186,1089.84,1.6221e+06,0.747463
187,1095.7,672818,0.590746
188,1101.56,2.06715e+06,0.819093
189,1107.42,812705,-2.6542
190,1113.28,1.82278e+06,-1.03668
191,1119.14,1.38356e+06,2.78253
192,1125,1.05457e+06,-1.21419
193,1130.86,1.53525e+06,-1.92831
194,1136.72,1.14487e+06,0.551806
195,1142.58,823762,0.589415
196,1148.44,679062,0.0393017
197,1154.3,1.2486e+06,0.720792
198,1160.16,997587,-0.959479
199,1166.02,868671,0.670479
200,1171.88,976071,0.215739
201,1177.73,1.27711e+06,1.76445
202,1183.59,1.21946e+06,1.09941
203,1189.45,1.75206e+06,1.15871
204,1195.31,2.251e+06,0.29281
205,1201.17,1.8067e+06,-1.48723
206,1207.03,1.97029e+06,0.149829
207,1212.89,1.89498e+06,-2.88026
208,1218.75,1.17434e+06,1.12785
209,1224.61,763749,-0.375912
210,1230.47,1.56331e+06,-1.74083
211,1236.33,1.55768e+06,0.0616755
212,1242.19,870815,4.20034
213,1248.05,693110,-1.37688
214,1253.91,816429,3.29219
215,1259.77,1.64906e+06,-0.313647
216,1265.62,849891,1.60922
217,1271.48,1.98108e+06,-3.40847
218,1277.34,886035,-2.04105
219,1283.2,1.64235e+06,-1.61644
220,1289.06,3.20821e+06,-0.155523
221,1294.92,906775,-0.30968
222,1300.78,3.88859e+06,-0.128961
223,1306.64,3.63755e+06,0.507695
224,1312.5,8.34474e+06,-0.577024
225,1318.36,2.22689e+07,-0.555164
226,1324.22,1.33913e+07,-0.493062
227,1330.08,2.45584e+06,-0.206543
228,1335.94,3.01018e+06,2.44658
229,1341.8,886268,-3.98684
230,1347.66,3.82561e+06,-0.534311
231,1353.52,2.88077e+06,-0.395557
232,1359.38,1.70492e+06,1.24707
233,1365.23,2.01992e+06,1.12346
234,1371.09,2.05874e+06,0.856344
235,1376.95,1.55914e+06,-1.90826
236,1382.81,1.39233e+06,-0.395438
237,1388.67,2.5415e+06,-1.26887
238,1394.53,1.50635e+06,0.999139
239,1400.39,1.07106e+06,-4.16057
240,1406.25,1.34758e+06,0.116472
241,1412.11,678026,-0.75878
242,1417.97,1.47086e+06,-1.18902
243,1423.83,1.94814e+06,-2.38256
244,1429.69,1.88925e+06,1.62144
245,1435.55,692354,-2.17959
246,1441.41,1.2471e+06,-1.66125
247,1447.27,905344,2.70859
248,1453.12,1.03357e+06,1.73787
249,1458.98,574506,1.73745
250,1464.84,1.9319e+06,0.724709
251,1470.7,1.63164e+06,-0.18793
252,1476.56,1.14225e+06,-0.987668
253,1482.42,1.90295e+06,-0.323703
254,1488.28,574140,-1.45093
255,1494.14,919960,4.18381
256,1500,1.21885e+06,-0.618795
257,1505.86,1.47994e+06,-1.05864
258,1511.72,1.30098e+06,0.31118
259,1517.58,2.36994e+06,0.013208
260,1523.44,1.91149e+06,-0.562784
261,1529.3,1.83908e+06,2.55574
262,1535.16,1.5398e+06,-0.800068
263,1541.02,2.65543e+06,0.513645
264,1546.88,1.86286e+06,3.42723
265,1552.73,1.18888e+06,-4.40907
266,1558.59,1.1965e+06,-1.40188
267,1564.45,1.35362e+06,2.87644
268,1570.31,1.43274e+06,-1.03051
269,1576.17,1.50789e+06,1.80923
270,1582.03,1.41186e+06,0.521484
271,1587.89,1.36825e+06,0.643982
272,1593.75,1.66771e+06,-2.14689
273,1599.61,2.02467e+06,1.39131
274,1605.47,1.68238e+06,-1.1288
275,1611.33,2.80412e+06,-0.616159
276,1617.19,1.28356e+06,0.918963
277,1623.05,1.31585e+06,1.28042
278,1628.91,1.58194e+06,-3.70855
279,1634.77,3.38186e+06,1.13302
280,1640.62,723148,1.08079
281,1646.48,3.78116e+06,0.0504539
282,1652.34,1.30614e+06,1.19608
283,1658.2,9.99835e+06,-1.03376
284,1664.06,2.62704e+07,-4.04224
285,1669.92,8.73289e+06,-0.816382
286,1675.78,2.35959e+06,0.156537
287,1681.64,4.25651e+06,-0.558489
288,1687.5,1.06674e+06,0.780462
289,1693.36,2.54409e+06,0.476042
290,1699.22,1.90927e+06,-1.10599
291,1705.08,2.90298e+06,0.0580345
292,1710.94,2.53154e+06,-2.23547
293,1716.8,3.13721e+06,-0.0780458
294,1722.66,1.51263e+06,0.58341
295,1728.52,1.94176e+06,1.80287
296,1734.38,1.99835e+06,-0.764369
297,1740.23,1.09171e+06,-2.15732
298,1746.09,3.44477e+06,0.161948
299,1751.95,3.55435e+06,-0.20206
300,1757.81,715173,0.994626
301,1763.67,1.50312e+06,1.79595
302,1769.53,1.55761e+06,-2.06033
303,1775.39,2.59355e+06,-4.01898
304,1781.25,1.94102e+06,-0.443285
305,1787.11,942212,0.255639
306,1792.97,514318,2.53893
307,1798.83,1.28786e+06,0.780219
308,1804.69,1.24045e+06,-1.16652
309,1810.55,2.26085e+06,-1.63801
310,1816.41,1.86966e+06,1.40113
311,1822.27,961142,-0.365728
312,1828.12,1.36301e+06,-0.876483
313,1833.98,1.21226e+06,-0.0068324
314,1839.84,1.44723e+06,-2.47844
315,1845.7,850683,1.74697
316,1851.56,832557,-1.77214
