Id,Frequency,Amplitude,Argument
0,0,1.99479e+06,0
1,5.85938,1.77839e+06,0.67573
2,11.7188,1.5255e+06,0.36714
3,17.5781,1.60887e+06,-1.32335
4,23.4375,1.53366e+06,-1.99215
5,29.2969,767957,-0.667954
6,35.1562,744101,-1.11242
7,41.0156,1.58796e+06,3.84804
8,46.875,1.05575e+06,1.4158
9,52.7344,1.63204e+06,-2.28485
10,58.5938,1.48834e+06,-1.50077
11,64.4531,1.24999e+06,2.89761
12,70.3125,2.58626e+06,-0.199223
13,76.1719,1.69348e+06,0.0955684
14,82.0312,1.05278e+06,1.53142
15,87.8906,1.59784e+06,-1.29249
16,93.75,1.74848e+06,-1.97246
17,99.6094,1.47776e+06,2.49055
18,105.469,1.00806e+06,-0.431898
19,111.328,771770,0.943529
20,117.188,1.32596e+06,0.438785
21,123.047,785690,-0.87566
22,128.906,3.3339e+06,0.101722
23,134.766,2.55561e+06,-0.557357
24,140.625,2.23436e+06,1.59198
25,146.484,1.61751e+06,-2.69289
26,152.344,1.45843e+06,0.885536
27,158.203,3.05951e+06,-1.3881
28,164.062,3.41494e+06,-0.0782658
29,169.922,2.62067e+06,3.39517
30,175.781,1.88548e+06,-0.598962
31,181.641,1.11594e+06,-1.33526
32,187.5,1.27397e+06,1.97269
33,193.359,1.60937e+06,-1.05024
34,199.219,1.95147e+06,-1.1539
35,205.078,3.74994e+06,-0.199048
36,210.938,2.81026e+06,0.362512
37,216.797,2.60539e+06,-3.43797
38,222.656,1.68779e+06,-0.248742
39,228.516,944405,-0.859105
40,234.375,1.13908e+06,1.24558
41,240.234,435406,0.538205
42,246.094,789922,-2.62396
43,251.953,951751,-2.99839
44,257.812,3.15693e+06,2.01408
45,263.672,2.75184e+06,-0.152855
46,269.531,1.63262e+06,4.04477
47,275.391,1.2103e+06,-3.61536
48,281.25,792740,2.12263
49,287.109,576420,0.626667
50,292.969,1.27546e+06,3.24437
51,298.828,1.03013e+06,-1.01519
52,304.688,1.13128e+06,-0.698545
53,310.547,815821,0.903467
54,316.406,1.4153e+06,0.114903
55,322.266,692573,0.0279932
56,328.125,2.32255e+06,-0.386861
57,333.984,2.06225e+06,0.69356
58,339.844,820458,-0.485672
59,345.703,1.77247e+06,3.25582
60,351.562,1.07255e+06,0.268897
61,357.422,727309,-0.352508
62,363.281,917129,1.01529
63,369.141,1.3394e+06,-0.608721
64,375,2.28974e+06,-0.961594
65,380.859,2.07052e+06,-2.65918
66,386.719,964108,-1.06122
67,392.578,594329,2.11354
68,398.438,838308,1.35028
69,404.297,1.95863e+06,0.739663
70,410.156,1.65594e+06,-2.34999
71,416.016,1.5372e+06,-4.0118
72,421.875,855941,-0.902047
73,427.734,1.0727e+06,1.25922
74,433.594,1.34927e+06,-2.62223
75,439.453,1.1066e+06,0.452876
76,445.312,1.37986e+06,3.41656
77,451.172,1.89706e+06,-3.22026
78,457.031,1.5117e+06,-0.468966
79,462.891,2.20422e+06,4.39331
80,468.75,996323,-0.75777
81,474.609,1.54783e+06,-2.4784
82,480.469,608643,1.52527
83,486.328,1.45715e+06,-1.4178
84,492.188,2.66218e+06,1.0623
85,498.047,1.24374e+06,0.754794
86,503.906,1.09716e+06,0.10014
87,509.766,1.8483e+06,2.38226
88,515.625,2.24246e+06,1.20162
89,521.484,2.05319e+06,-1.81238
90,527.344,2.44446e+06,1.5484
91,533.203,627956,-0.0542806
92,539.062,1.35545e+06,0.970147
93,544.922,1.24749e+06,-2.54993
94,550.781,1.43787e+06,-1.08979
95,556.641,1.92407e+06,-0.497892
96,562.5,899206,3.6256
97,568.359,792679,-3.12132
98,574.219,1.71088e+06,-2.29354
99,580.078,1.53932e+06,2.66661
100,585.938,1.4512e+06,-1.57426
101,591.797,1.72345e+06,-0.210856
102,597.656,2.77723e+06,3.02136
103,603.516,1.22999e+06,1.58869
104,609.375,2.15758e+06,2.13954
105,615.234,1.70008e+06,1.3618
106,621.094,1.43404e+06,-1.89288
107,626.953,933624,-0.728013
108,632.812,1.02658e+06,0.490527
109,638.672,1.92499e+06,0.404662
110,644.531,1.1311e+06,3.12472
111,650.391,1.21772e+06,0.400438
112,656.25,2.35264e+06,-1.8896
113,662.109,2.38377e+06,0.740032
114,667.969,728848,1.64729
115,673.828,721794,-0.47438
116,679.688,1.10407e+06,-1.66656
117,685.547,1.51334e+06,-0.302291
118,691.406,983038,3.24578
119,697.266,1.32257e+06,1.44634
120,703.125,1.14533e+06,2.03487
121,708.984,1.31156e+06,-1.13868
122,714.844,1.31502e+06,0.990131
123,720.703,2.39124e+06,1.59271
124,726.562,2.02862e+06,0.438859
125,732.422,2.10958e+06,-2.17981
126,738.281,1.85333e+06,0.205501
127,744.141,798203,-1.24113
128,750,1.51861e+06,1.21496
129,755.859,2.54522e+06,-1.55359
130,761.719,2.34337e+06,-1.47065
131,767.578,1.81569e+06,1.27891
132,773.438,1.63465e+06,0.418671
133,779.297,1.23078e+06,0.658547
134,785.156,630868,0.599136
135,791.016,1.59288e+06,-1.39037
136,796.875,1.05494e+06,1.67558
137,802.734,1.71344e+06,0.407095
138,808.594,3.21296e+06,-1.39385
139,814.453,1.76518e+06,0.0766376
140,820.312,845080,-0.846362
141,826.172,2.69993e+06,0.985974
142,832.031,5.23789e+06,0.496667
143,837.891,1.91329e+06,1.03285
