Id,Frequency,Amplitude,Argument
0,0,1.58247e+06,0
1,5.85938,4.41981e+06,-1.26255
2,11.7188,2.7693e+06,0.262865
3,17.5781,1.07168e+06,1.05663
4,23.4375,2.3995e+06,1.26265
5,29.2969,3.5202e+06,0.711313
6,35.1562,2.46233e+06,-0.561272
7,41.0156,4.34153e+06,0.0015483
8,46.875,3.78467e+06,0.173432
9,52.7344,2.11702e+06,0.112772
10,58.5938,2.31677e+06,-0.396412
11,64.4531,2.93615e+06,0.0404712
12,70.3125,1.59314e+06,1.52976
13,76.1719,5.44077e+06,-1.26666
14,82.0312,4.01049e+06,-0.784214
15,87.8906,3.2651e+06,0.502431
16,93.75,2.31969e+06,0.0826736
17,99.6094,6.01696e+06,1.16613
18,105.469,5.27244e+06,-1.11565
19,111.328,6.47752e+06,1.17067
20,117.188,6.73703e+06,-1.4899
21,123.047,1.0865e+07,-1.7208
22,128.906,2.51859e+07,-1.65473
23,134.766,1.35987e+07,-1.36662
24,140.625,1.66432e+06,1.82127
25,146.484,2.67385e+06,-0.83903
26,152.344,1.88557e+06,1.14695
27,158.203,7.99838e+06,-0.0683749
28,164.062,2.55497e+07,-3.4937
29,169.922,1.17441e+07,2.0584
30,175.781,4.99702e+06,2.08882
31,181.641,5.08291e+06,2.70809
32,187.5,3.63687e+06,0.944474
33,193.359,6.1402e+06,-0.515613
34,199.219,6.75777e+06,0.586531
35,205.078,2.16013e+07,-0.385183
36,210.938,2.09082e+07,-0.515108
37,216.797,9.83894e+06,-1.42047
38,222.656,2.7695e+06,-2.46309
39,228.516,1.997e+06,-2.17208
40,234.375,2.92459e+06,-3.56197
41,240.234,2.04793e+06,1.70091
42,246.094,5.22867e+06,1.31766
43,251.953,4.6902e+06,3.06906
44,257.812,1.53489e+07,-1.56626
45,263.672,2.6805e+07,1.53265
46,269.531,9.75233e+06,-1.5107
47,275.391,1.98259e+06,-2.37497
48,281.25,2.60161e+06,3.0649
49,287.109,2.78264e+06,0.979746
50,292.969,3.17012e+06,0.391137
51,298.828,1.95937e+06,-2.46842
52,304.688,1.66987e+06,-1.12534
53,310.547,3.82446e+06,-2.19204
54,316.406,1.88122e+06,-3.03916
55,322.266,9.26236e+06,0.378432
56,328.125,2.47675e+07,-2.5136
57,333.984,1.69816e+07,0.682008
58,339.844,5.50703e+06,-2.48428
59,345.703,5.70741e+06,-0.0481363
60,351.562,4.3066e+06,-0.68573
61,357.422,1.8666e+06,2.95861
62,363.281,822252,2.09893
63,369.141,2.40435e+06,0.0846102
64,375,3.51459e+06,0.452268
65,380.859,3.97656e+06,-2.07595
66,386.719,3.73164e+06,-0.446138
67,392.578,1.05217e+06,-0.961607
68,398.438,3.22991e+06,-0.72093
69,404.297,2.80614e+06,-0.135774
70,410.156,1.00416e+07,0.614829
71,416.016,2.72025e+07,3.67298
72,421.875,8.63615e+06,-1.6105
73,427.734,1.71583e+06,0.376502
74,433.594,4.11349e+06,-2.29959
75,439.453,1.93318e+06,0.147797
76,445.312,2.79613e+06,-1.75923
77,451.172,1.5272e+06,2.10267
78,457.031,2.19784e+06,-0.479822
79,462.891,2.24362e+06,1.33745
80,468.75,1.02639e+06,-3.10036
81,474.609,1.40054e+06,1.4397
82,480.469,2.07382e+06,-0.695339
83,486.328,2.16039e+06,-0.0486593
84,492.188,4.74121e+06,-0.368064
85,498.047,4.02819e+06,-0.860797
86,503.906,2.68498e+06,-0.80568
87,509.766,5.55935e+06,-0.666099
88,515.625,6.98888e+06,1.07466
89,521.484,2.44391e+07,-1.84547
90,527.344,2.00514e+07,1.1274
91,533.203,5.01293e+06,-2.28808
92,539.062,6.58749e+06,0.600708
93,544.922,5.50644e+06,-2.8321
94,550.781,3.01782e+06,-2.7935
95,556.641,1.9071e+06,1.86639
96,562.5,2.21782e+06,-0.181468
97,568.359,1.2943e+06,-2.15848
98,574.219,3.71105e+06,-1.81488
99,580.078,3.03196e+06,-0.0860984
100,585.938,1.54806e+06,-2.09784
101,591.797,1.62731e+06,-1.39211
102,597.656,3.25891e+06,1.76416
103,603.516,1.6483e+06,0.736602
104,609.375,2.62118e+06,-0.348374
105,615.234,2.72166e+06,0.958414
106,621.094,1.70636e+06,-1.93327
107,626.953,2.43716e+06,-1.05658
108,632.812,2.73477e+06,2.93849
109,638.672,3.83343e+06,2.38178
110,644.531,4.21706e+06,-0.259661
111,650.391,4.42131e+06,0.0450534
112,656.25,1.75545e+07,-0.20199
113,662.109,2.41344e+07,-0.139041
114,667.969,8.58312e+06,-0.162887
115,673.828,4.88302e+06,-0.321743
116,679.688,3.67223e+06,0.435492
117,685.547,3.58263e+06,-0.825443
118,691.406,3.28097e+06,2.11091
119,697.266,1.84275e+06,-2.16297
120,703.125,1.92477e+06,-2.27245
121,708.984,2.15254e+06,-2.97185
122,714.844,1.95455e+06,0.413957
123,720.703,1.73348e+06,1.53256
124,726.562,2.00524e+06,-0.346341
125,732.422,1.3907e+06,0.972371
126,738.281,1.00486e+06,-0.823607
127,744.141,1.27979e+06,-0.616613
128,750,1.62865e+06,0.43534
129,755.859,2.06263e+06,-1.59425
130,761.719,3.04474e+06,-2.83856
131,767.578,2.41815e+06,-0.0372854
132,773.438,1.14425e+06,1.23479
133,779.297,2.25726e+06,-1.55622
134,785.156,678147,-0.194293
135,791.016,2.15637e+06,-0.940048
136,796.875,1.19593e+06,-1.16974
137,802.734,3.23795e+06,-0.449493
138,808.594,2.60378e+06,-3.49979
139,814.453,4.21825e+06,-0.585609
140,820.312,1.18419e+06,-1.24743
141,826.172,9.87314e+06,-1.76793
142,832.031,2.71773e+07,2.64559
143,837.891,8.65487e+06,-1.27718
144,843.75,1.15107e+06,2.28999
145,849.609,3.20502e+06,-2.13467
146,855.469,1.64817e+06,-1.8661
147,861.328,2.79051e+06,-1.04108
148,867.188,4.00334e+06,4.01429
149,873.047,2.55721e+06,-0.230933
150,878.906,3.05902e+06,1.55384
151,884.766,1.32416e+06,0.419648
