Id,Frequency,Amplitude,Argument
0,0,1.59342e+07,0
1,125,1.69899e+07,8.0142
2,250,2.08895e+07,13.8497
3,375,3.17979e+07,19.607
4,500,8.12293e+07,22.6896
5,625,8.12833e+07,33.6636
6,750,7.45178e+07,21.5136
7,875,6.84302e+07,22.6299
8,1000,6.30504e+07,10.2603
9,1125,5.83095e+07,9.72217
10,1250,5.42484e+07,9.5607
11,1375,5.0668e+07,-0.6506
12,1500,4.73761e+07,-4.68443
13,1625,4.46293e+07,-13.9179
14,1750,4.2112e+07,-25.5637
15,1875,3.99009e+07,-31.118
16,2000,3.79065e+07,-40.6475
17,2125,3.60222e+07,-51.1091
18,2250,3.44684e+07,-67.5449
19,2375,3.28334e+07,-69.9872
20,2500,3.14804e+07,-86.4438
21,2625,3.00723e+07,-100.26
22,2750,2.88229e+07,-97.532
23,2875,2.76107e+07,-100.665
24,3000,2.63792e+07,-98.8319
25,3125,2.51822e+07,-113.637
26,3250,2.36211e+07,-111.27
27,3375,2.2232e+07,-112.54
28,3500,1.70371e+07,-122.435
29,3625,1.07312e+07,-120.892
30,3750,8.71889e+06,-120.113
31,3875,7.94103e+06,-121.01
32,4000,7.27527e+06,-125.124
33,4125,6.7777e+06,-129.103
34,4250,6.41527e+06,-127.368
35,4375,6.0296e+06,-131.477
36,4500,5.79854e+06,-129.707
37,4625,5.48901e+06,-128.951
38,4750,5.33859e+06,-124.987
39,4875,5.10558e+06,-120.281
40,5000,4.96963e+06,-115.403
41,5125,4.79693e+06,-113.157
42,5250,4.66229e+06,-105.491
43,5375,4.54053e+06,-100.048
44,5500,4.40797e+06,-92.5966
45,5625,4.3246e+06,-93.1621
46,5750,4.20498e+06,-89.2098
47,5875,4.14275e+06,-83.5129
48,6000,4.04745e+06,-77.977
49,6125,3.99494e+06,-72.7969
50,6250,3.92736e+06,-67.2332
51,6375,3.87783e+06,-60.145
52,6500,3.82748e+06,-61.0319
53,6625,3.78025e+06,-53.8189
54,6750,3.74381e+06,-47.7041
55,6875,3.70173e+06,-44.8208
56,7000,3.67912e+06,-41.8618
57,7125,3.64084e+06,-38.502
58,7250,3.61856e+06,-32.7379
59,7375,3.595e+06,-29.5701
60,7500,3.57595e+06,-23.2391
61,7625,3.56393e+06,-17.4347
62,7750,3.55254e+06,-10.7754
63,7875,3.54759e+06,-5.52625
64,8000,3.54831e+06,0
65,8125,3.54759e+06,5.52625
66,8250,3.55254e+06,10.7754
67,8375,3.56393e+06,17.4347
68,8500,3.57595e+06,23.2391
69,8625,3.595e+06,29.5701
70,8750,3.61856e+06,32.7379
71,8875,3.64084e+06,38.502
72,9000,3.67912e+06,41.8618
73,9125,3.70173e+06,44.8208
74,9250,3.74381e+06,47.7041
75,9375,3.78025e+06,53.8189
76,9500,3.82748e+06,61.0319
77,9625,3.87783e+06,60.145
78,9750,3.92736e+06,67.2332
79,9875,3.99494e+06,72.7969
80,10000,4.04745e+06,77.977
81,10125,4.14275e+06,83.5129
82,10250,4.20498e+06,89.2098
83,10375,4.3246e+06,93.1621
84,10500,4.40797e+06,92.5966
85,10625,4.54053e+06,100.048
86,10750,4.66229e+06,105.491
87,10875,4.79693e+06,113.157
88,11000,4.96963e+06,115.403
89,11125,5.10558e+06,120.281
90,11250,5.33859e+06,124.987
91,11375,5.48901e+06,128.951
92,11500,5.79854e+06,129.707
93,11625,6.0296e+06,131.477
94,11750,6.41527e+06,127.368
95,11875,6.7777e+06,129.103
96,12000,7.27527e+06,125.124
97,12125,7.94103e+06,121.01
98,12250,8.71889e+06,120.113
99,12375,1.07312e+07,120.892
100,12500,1.70371e+07,122.435
101,12625,2.2232e+07,112.54
102,12750,2.36211e+07,111.27
103,12875,2.51822e+07,113.637
104,13000,2.63792e+07,98.8319
105,13125,2.76107e+07,100.665
106,13250,2.88229e+07,97.532
107,13375,3.00723e+07,100.26
108,13500,3.14804e+07,86.4438
109,13625,3.28334e+07,69.9872
110,13750,3.44684e+07,67.5449
111,13875,3.60222e+07,51.1091
112,14000,3.79065e+07,40.6475
113,14125,3.99009e+07,31.118
114,14250,4.2112e+07,25.5637
115,14375,4.46293e+07,13.9179
116,14500,4.73761e+07,4.68443
117,14625,5.0668e+07,0.6506
118,14750,5.42484e+07,-9.5607
119,14875,5.83095e+07,-9.72217
120,15000,6.30504e+07,-10.2603
121,15125,6.84302e+07,-22.6299
122,15250,7.45178e+07,-21.5136
123,15375,8.12833e+07,-33.6636
124,15500,8.12293e+07,-22.6896
125,15625,3.17979e+07,-19.607
126,15750,2.08895e+07,-13.8497
127,15875,1.69899e+07,-8.0142
