,Hanning,Hamming,Blackman,BlackmanHarris,Nuttall,Kaiser
0,0.004278,0.083935,0.001552,0.000312,0.000215,0.002949
1,0.038060,0.115015,0.014629,0.003059,0.002637,0.011918
2,0.103323,0.175057,0.044029,0.012399,0.011244,0.033624
3,0.195619,0.259970,0.094914,0.035723,0.033375,0.075479
4,0.308658,0.363966,0.172090,0.082780,0.078907,0.144309
5,0.434737,0.479958,0.277463,0.163019,0.157656,0.243956
6,0.565263,0.600042,0.407989,0.281549,0.275245,0.372937
7,0.691342,0.716034,0.554773,0.434920,0.428654,0.523016
8,0.804381,0.820030,0.703675,0.608645,0.603501,0.679369
9,0.896677,0.904943,0.837382,0.778233,0.774952,0.822639
10,0.961940,0.964985,0.938508,0.914241,0.912874,0.932561
11,0.995722,0.996065,0.992996,0.990120,0.989956,0.992297
12,0.995722,0.996065,0.992996,0.990120,0.989956,0.992297
13,0.961940,0.964985,0.938508,0.914241,0.912874,0.932561
14,0.896677,0.904943,0.837382,0.778233,0.774952,0.822639
15,0.804381,0.820030,0.703675,0.608645,0.603501,0.679369
16,0.691342,0.716034,0.554773,0.434920,0.428654,0.523016
17,0.565263,0.600042,0.407989,0.281549,0.275245,0.372937
18,0.434737,0.479958,0.277463,0.163019,0.157656,0.243956
19,0.308658,0.363966,0.172090,0.082780,0.078907,0.144309
20,0.195619,0.259970,0.094914,0.035723,0.033375,0.075479
21,0.103323,0.175057,0.044029,0.012399,0.011244,0.033624
22,0.038060,0.115015,0.014629,0.003059,0.002637,0.011918
23,0.004278,0.083935,0.001552,0.000312,0.000215,0.002949

,Hanning,Hamming,Blackman,BlackmanHarris,Nuttall,Kaiser
0,0.003943,0.083627,0.001429,0.000292,0.000197,0.002853
1,0.035112,0.112303,0.013429,0.002765,0.002373,0.011091
2,0.095492,0.167852,0.040213,0.010982,0.009921,0.030671
3,0.181288,0.246785,0.086297,0.031264,0.029109,0.068131
4,0.287110,0.344142,0.156116,0.072104,0.068516,0.129699
5,0.406309,0.453805,0.251927,0.142153,0.137089,0.219366
6,0.531395,0.568884,0.372026,0.247055,0.240915,0.336915
7,0.654508,0.682148,0.509787,0.385893,0.379499,0.476546
8,0.767913,0.786480,0.653851,0.548647,0.543012,0.626648
9,0.864484,0.875326,0.789508,0.716124,0.712087,0.771056
10,0.938153,0.943101,0.901019,0.863077,0.860951,0.891664
11,0.984292,0.985548,0.974396,0.964018,0.963431,0.971867
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
13,0.984292,0.985548,0.974396,0.964018,0.963431,0.971867
14,0.938153,0.943101,0.901019,0.863077,0.860951,0.891664
15,0.864484,0.875326,0.789508,0.716124,0.712087,0.771056
16,0.767913,0.786480,0.653851,0.548647,0.543012,0.626648
17,0.654508,0.682148,0.509787,0.385893,0.379499,0.476546
18,0.531395,0.568884,0.372026,0.247055,0.240915,0.336915
19,0.406309,0.453805,0.251927,0.142153,0.137089,0.219366
20,0.287110,0.344142,0.156116,0.072104,0.068516,0.129699
21,0.181288,0.246785,0.086297,0.031264,0.029109,0.068131
22,0.095492,0.167852,0.040213,0.010982,0.009921,0.030671
23,0.035112,0.112303,0.013429,0.002765,0.002373,0.011091
24,0.003943,0.083627,0.001429,0.000292,0.000197,0.002853
